Time,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR
45,0.000248888,0.000414814,-8.29627E-05,-0.000746665,0.000165925,-0.000331851,0.000165925,0.000331851,-0.000331851,0.006139242,0.005226652,0.004314062,0.009208863,0.008794049,0.00638813,0.007798496,0.005807391,0.010287378,0.000331851,-0.000995553,-0.000414814,-0.000331851,-8.29627E-05,-0.000165925,0.000497776,0.000165925,0.000331851,0.004479987,0.00638813,0.003982211,0.006056279,0.004065174,0.005226652,0.005558503,0.005807391,0.005807391
50,0,0.000248888,8.29627E-05,0.000331851,0.000829627,0.000746665,0.000331851,0.000331851,-0.000331851,0.007881459,0.006471093,0.006471093,0.013108111,0.012029596,0.0091259,0.010536266,0.006802944,0.012527372,0.000248888,-0.000746665,-8.29627E-05,0.000580739,0.000248888,0.000663702,0.000331851,0.000331851,0.000414814,0.004977764,0.006802944,0.004894801,0.007549608,0.00638813,0.006719981,0.006139242,0.007051832,0.007632571
55,-0.000248888,0.000165925,-0.000248888,-0.000165925,0.000248888,0.000331851,0.000248888,0.000497776,8.29627E-05,0.010785155,0.008711086,0.007632571,0.015431067,0.013191074,0.010536266,0.013771813,0.007964422,0.015845881,-8.29627E-05,-0.00091259,-8.29627E-05,-8.29627E-05,-0.000497776,0.000580739,-0.000165925,0.000414814,0.000414814,0.005890354,0.007051832,0.005890354,0.008130347,0.006056279,0.007549608,0.007051832,0.007549608,0.008130347
60,0.000165925,0.000497776,0.000165925,-8.29627E-05,0.000414814,0.000248888,0.000165925,8.29627E-05,0,0.013356999,0.011697745,0.008959975,0.017754024,0.016260695,0.013025148,0.016343657,0.009291826,0.019247353,0.00091259,-0.000580739,0,-8.29627E-05,-8.29627E-05,0.000248888,0.000331851,0.000497776,8.29627E-05,0.006802944,0.008545161,0.006968869,0.008877012,0.007715534,0.008711086,0.007964422,0.0091259,0.008545161
65,-0.000165925,8.29627E-05,0.000248888,-0.000497776,0.000248888,-0.000165925,-0.000165925,-8.29627E-05,-0.000331851,0.016177732,0.013605887,0.011697745,0.020823645,0.018417726,0.014933291,0.019911055,0.010453304,0.023478452,0.000414814,-0.000746665,-8.29627E-05,0,-0.000414814,0.000165925,-0.000165925,0.000331851,0.000165925,0.007798496,0.008545161,0.007881459,0.0091259,0.00730072,0.008877012,0.008296273,0.009872565,0.009540714
70,-0.000331851,-0.000248888,-0.000165925,8.29627E-05,0.000331851,0.000663702,-0.000829627,0,-0.000331851,0.019579204,0.015016254,0.012859223,0.024556967,0.020906607,0.017256247,0.024308079,0.012278484,0.026713998,0,-0.001161478,-0.000331851,0.000414814,-0.000331851,0.000580739,0,-0.000165925,-0.000414814,0.007217757,0.008628124,0.00730072,0.009457751,0.008462198,0.009208863,0.009540714,0.010868117,0.009706639
75,-8.29627E-05,0.000165925,8.29627E-05,0.000829627,0.000995553,0.000497776,0.000331851,0.000414814,0.000414814,0.023395489,0.017505136,0.015348105,0.027626588,0.023893266,0.020325868,0.029617694,0.014186626,0.031111023,0.000497776,-0.000663702,0,0.000414814,0.000414814,0.000746665,0.000497776,0.000414814,0.00091259,0.007715534,0.009374788,0.008296273,0.010287378,0.009374788,0.01003849,0.010287378,0.012195521,0.010868117
80,8.29627E-05,-8.29627E-05,8.29627E-05,0.000663702,-8.29627E-05,-0.000165925,0.000414814,0.000995553,-0.000414814,0.025220669,0.018832539,0.017007359,0.030779172,0.025718446,0.021487347,0.034429532,0.014767366,0.035425085,-0.000248888,-0.001244441,-0.000663702,-0.000331851,-0.000248888,0.000165925,0.000829627,0.000663702,0,0.008296273,0.0091259,0.00821331,0.010453304,0.009623676,0.009374788,0.011117006,0.01277626,0.011199968
85,0.000580739,0.000497776,0.000165925,-0.000497776,8.29627E-05,-0.000165925,-0.000248888,-0.000165925,-0.000497776,0.029451768,0.022234011,0.01916439,0.034097681,0.028207328,0.024308079,0.039739147,0.015596993,0.038411743,0.000165925,-0.000580739,-0.000331851,-0.000331851,-0.000663702,-8.29627E-05,-0.000165925,0.000165925,0.000331851,0.0091259,0.01003849,0.009374788,0.009872565,0.009706639,0.01003849,0.01095108,0.012610335,0.010702192
90,0.000746665,0.000248888,-0.000165925,0.000165925,0.000497776,0.000165925,0.000248888,0.000580739,0.000165925,0.031359911,0.024308079,0.021653272,0.037333228,0.031691762,0.026713998,0.045214687,0.017505136,0.043223581,0,-0.000995553,-0.000497776,0.000414814,-0.000248888,0.000497776,0.000331851,0.000663702,0.000331851,0.008794049,0.010287378,0.009291826,0.010785155,0.01095108,0.010785155,0.012444409,0.01368885,0.011697745
