,Condition,AMW019,JBL002,AMW4971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR OFF,0.5,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR 12nM,0.5,20.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR 16nM,0.5,16.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR 20nM,0.5,8.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM
50,0.000497776,0.000414814,0.000248888,0.000995553,0.001742217,-0.000414814,0.000165925,-0.000414814,0,0.001078515,0.001659255,0.001991105,0.002074068,0.001161478,0.002405919,0.002654807,0.003235546,0.001493329,0.004314062,0.002986658,0.006056279,0.005724428,0.00638813,0.006139242,0.003567397,0.00547554,0.004977764,0.006802944,0.009457751,0.006056279,0.007466646,0.007383683,0.008711086,0.00821331,0.00730072,0.01003849
55,0.000414814,0.000248888,-8.29627E-05,0.000663702,0.00091259,-0.000497776,-0.000580739,-0.000248888,-8.29627E-05,0.002488882,0.003069621,0.002820733,0.002571845,0.002074068,0.003152584,0.002405919,0.004065174,0.001991105,0.005060726,0.005226652,0.007715534,0.006802944,0.007715534,0.006885906,0.004479987,0.007051832,0.006139242,0.009374788,0.011531819,0.007549608,0.010121453,0.009623676,0.01003849,0.008959975,0.009208863,0.01277626
60,0.000248888,8.29627E-05,0.000331851,0.000829627,0.001576292,-0.000165925,-0.000829627,-0.000497776,-0.000331851,0.002820733,0.003235546,0.002820733,0.004231099,0.00273777,0.003982211,0.002986658,0.004894801,0.002157031,0.006554056,0.00638813,0.00821331,0.009623676,0.009042937,0.008959975,0.005807391,0.007881459,0.007715534,0.010536266,0.013274036,0.009208863,0.013025148,0.011614782,0.012278484,0.011117006,0.011117006,0.015928844
65,0.00091259,0.000497776,0.000829627,0.001493329,0.001244441,-0.000165925,-8.29627E-05,-8.29627E-05,-0.000248888,0.003567397,0.004479987,0.004148136,0.004231099,0.003318509,0.00456295,0.004065174,0.005807391,0.004065174,0.008711086,0.008130347,0.009374788,0.011365894,0.010868117,0.010536266,0.007881459,0.01095108,0.009955527,0.013522925,0.015845881,0.011282931,0.015016254,0.01368885,0.014518477,0.01460144,0.013439962,0.019247353
70,0.000414814,0.000414814,0.000331851,0.001327404,0.000995553,-0.000165925,-0.000414814,-0.000497776,-0.000746665,0.004479987,0.005143689,0.005060726,0.005226652,0.004314062,0.005641466,0.005392577,0.006554056,0.004065174,0.009457751,0.010121453,0.011531819,0.013356999,0.011946633,0.01277626,0.010121453,0.012693297,0.012693297,0.015596993,0.019662167,0.015099216,0.017090322,0.015099216,0.017671061,0.016675508,0.016011806,0.022980676
75,0.000331851,0.000995553,0.000331851,0.000995553,0.000829627,-0.000414814,-0.000165925,8.29627E-05,-0.000248888,0.005558503,0.006554056,0.00547554,0.007051832,0.004894801,0.00638813,0.00730072,0.008379236,0.005558503,0.011531819,0.011946633,0.012859223,0.015762918,0.013108111,0.015265142,0.01186367,0.015928844,0.01460144,0.018417726,0.02190216,0.016924397,0.019745129,0.017007359,0.019911055,0.019911055,0.019247353,0.026050297
80,0.000165925,0.000497776,0.000580739,0.000497776,0.001493329,-0.000248888,-0.000165925,0,-0.000331851,0.006968869,0.007632571,0.007134795,0.007715534,0.006056279,0.007134795,0.00821331,0.009208863,0.006637018,0.013605887,0.01460144,0.014933291,0.0182518,0.015762918,0.016509583,0.014850328,0.017836987,0.017836987,0.021404384,0.025137707,0.020325868,0.023063638,0.019496241,0.023478452,0.023146601,0.022068086,0.030032508
85,0.000414814,0.000497776,0.000331851,0.000829627,0.00091259,-0.000248888,-0.000248888,-0.000414814,8.29627E-05,0.00730072,0.008130347,0.008296273,0.008379236,0.006885906,0.008545161,0.0091259,0.010619229,0.00730072,0.015265142,0.016260695,0.018168837,0.021321421,0.017919949,0.019745129,0.017505136,0.019828092,0.021238458,0.022980676,0.027543626,0.023063638,0.024971781,0.023146601,0.026216222,0.02555252,0.024059191,0.032355464
90,0.000248888,0.000580739,0.000414814,0.001161478,0.000829627,-0.000414814,8.29627E-05,-0.000497776,-0.000414814,0.008628124,0.009042937,0.009540714,0.009789602,0.007715534,0.009457751,0.010868117,0.011199968,0.008296273,0.017505136,0.018666614,0.021404384,0.023146601,0.019828092,0.022234011,0.019745129,0.022897713,0.023312527,0.027045849,0.030613247,0.025801408,0.027958439,0.026050297,0.02920288,0.028788067,0.027543626,0.036669526
95,0.000414814,0.000497776,0.000248888,0.000414814,0.00091259,-0.000746665,-0.000414814,-0.000829627,-0.000829627,0.009457751,0.010619229,0.010121453,0.010785155,0.008628124,0.010370341,0.01186367,0.01277626,0.009374788,0.02007698,0.020906607,0.024556967,0.025386595,0.022897713,0.025220669,0.021570309,0.02555252,0.02646511,0.029534731,0.032272501,0.028953992,0.030032508,0.028622141,0.032355464,0.030862135,0.030862135,0.04015396
100,8.29627E-05,8.29627E-05,0.000497776,0.000995553,0.001327404,0,0.000165925,-0.000580739,-0.000414814,0.009872565,0.011448856,0.011448856,0.01186367,0.010287378,0.011780707,0.013522925,0.014020701,0.010204416,0.021736235,0.022316974,0.027543626,0.028041402,0.025054744,0.027128812,0.024059191,0.027958439,0.029949545,0.031608799,0.035508048,0.032023613,0.033599905,0.03102806,0.036420638,0.033433979,0.033599905,0.043472469
105,0.000497776,0.000248888,0.000414814,0.001576292,0.001659255,0.000165925,0.000165925,-0.000248888,0.000165925,0.011034043,0.012942186,0.012693297,0.013937738,0.011531819,0.013771813,0.014933291,0.015265142,0.011946633,0.024225117,0.02463993,0.030696209,0.032023613,0.02829029,0.03011547,0.026796961,0.029700657,0.033185091,0.034761383,0.037996929,0.033848793,0.036669526,0.03467842,0.039739147,0.037084339,0.037084339,0.046956904
110,0.000829627,0.000497776,0.000663702,0.000414814,0.000663702,-8.29627E-05,-0.000663702,-0.000580739,-0.000663702,0.012195521,0.013854776,0.013605887,0.014269589,0.012112558,0.01368885,0.016675508,0.01642662,0.013108111,0.026133259,0.026796961,0.033019166,0.033848793,0.030447321,0.032604352,0.028373253,0.032023613,0.035425085,0.037001377,0.040817662,0.036171749,0.038411743,0.037499153,0.042228029,0.039324333,0.040319886,0.050026525
115,0.000414814,0.000580739,0.000663702,0.000746665,0.000414814,-0.000497776,-8.29627E-05,-0.000248888,-0.000165925,0.013191074,0.015016254,0.014186626,0.014933291,0.012693297,0.014435515,0.018168837,0.018085875,0.013937738,0.027294738,0.028124365,0.034927308,0.035342122,0.031608799,0.03467842,0.030613247,0.035010271,0.037499153,0.040236923,0.043389507,0.03924137,0.040485811,0.039822109,0.044385059,0.042228029,0.044633948,0.053427997
120,0.000165925,0.000248888,8.29627E-05,0.000829627,0.001078515,8.29627E-05,8.29627E-05,0.000248888,0.000165925,0.013937738,0.01642662,0.014933291,0.016177732,0.014684403,0.015928844,0.020906607,0.019330316,0.015265142,0.029617694,0.029866582,0.036420638,0.038992482,0.035176197,0.037996929,0.032438427,0.039158408,0.040983588,0.042808768,0.046376165,0.040402849,0.044219134,0.042559879,0.047869494,0.045961351,0.04836727,0.057244282
125,0.000497776,8.29627E-05,0.000497776,0.000248888,0.000497776,-0.001161478,8.29627E-05,-0.000165925,0.000248888,0.015348105,0.017505136,0.016343657,0.017422173,0.015099216,0.016675508,0.022399937,0.020574757,0.016260695,0.030945098,0.032355464,0.039158408,0.041149513,0.037250265,0.038992482,0.034927308,0.042310991,0.044385059,0.044550985,0.048035419,0.042808768,0.045795426,0.044799873,0.050939115,0.048865047,0.051768742,0.060313903
130,0.000414814,8.29627E-05,0.000165925,0.001161478,0.000497776,-0.000580739,-8.29627E-05,-0.000331851,-0.000165925,0.015596993,0.018915502,0.017090322,0.018749577,0.017007359,0.018334763,0.02372734,0.022565862,0.017671061,0.034097681,0.034512495,0.042974693,0.044385059,0.040070998,0.042145066,0.035839898,0.044965799,0.0456295,0.047703569,0.051022078,0.045131724,0.049362823,0.04654209,0.054091699,0.051022078,0.054506512,0.063715375
135,8.29627E-05,0.000663702,0.000331851,0.001078515,0.000663702,-0.000331851,8.29627E-05,0.000331851,0.000414814,0.017256247,0.020242906,0.017919949,0.019745129,0.017505136,0.019745129,0.025967334,0.024308079,0.019247353,0.036586563,0.036005824,0.046790979,0.046873941,0.041813215,0.044965799,0.037665078,0.052764295,0.049611711,0.050441339,0.054174661,0.047952457,0.052681332,0.04836727,0.056912431,0.054008736,0.057410208,0.066370182
140,0.000746665,0.000829627,0.000165925,8.29627E-05,0.000580739,-0.000331851,-0.000165925,-0.000580739,-0.000497776,0.018666614,0.022399937,0.019413278,0.02098957,0.018417726,0.019994017,0.026962887,0.02463993,0.019911055,0.03924137,0.038494706,0.048035419,0.049196898,0.043970246,0.046376165,0.039573221,0.058820574,0.052764295,0.053593922,0.057742059,0.049943562,0.056331692,0.050607264,0.059982052,0.056746506,0.05807391,0.069688691
145,0.000248888,-0.000165925,-0.000165925,0.001244441,0.00091259,0.000331851,8.29627E-05,8.29627E-05,8.29627E-05,0.018915502,0.022068086,0.020491794,0.022731787,0.019413278,0.022399937,0.028705104,0.027211775,0.020325868,0.040568774,0.039490259,0.051768742,0.052847258,0.046790979,0.049943562,0.042476917,0.063383524,0.056746506,0.055087251,0.05989909,0.053345034,0.060728717,0.052515407,0.063466487,0.058903537,0.061392419,0.072592387
150,0.000746665,0.000580739,-8.29627E-05,0.001161478,0.000746665,-8.29627E-05,-0.000580739,-0.000248888,0.000165925,0.020491794,0.023644377,0.021238458,0.023644377,0.021072533,0.023478452,0.03011547,0.028373253,0.02190216,0.043721358,0.04197914,0.053593922,0.054672438,0.049113935,0.053013183,0.044468022,0.067614623,0.060562791,0.057659096,0.062968711,0.056829469,0.063217599,0.054838363,0.066370182,0.062387971,0.06537463,0.074998306
